sample,experiment,wn,int
100 mA,exp1,3379.34375,2699.093018
100 mA,exp1,3378.605469,2762.44751
100 mA,exp1,3377.866211,2720.409668
100 mA,exp1,3377.126953,2802.889648
100 mA,exp1,3376.387695,2882.145996
100 mA,exp1,3375.647461,2814.57959
100 mA,exp1,3374.908203,2798.087402
100 mA,exp1,3374.167969,2772.031494
100 mA,exp1,3373.428711,2710.90332
100 mA,exp1,3372.688477,2802.855225
100 mA,exp1,3371.948242,2872.455078
100 mA,exp1,3371.208008,2744.405273
100 mA,exp1,3370.466797,2750.252197
100 mA,exp1,3369.726562,2886.732666
100 mA,exp1,3368.985352,2870.250244
100 mA,exp1,3368.244141,2872.884033
100 mA,exp1,3367.503906,2795.906494
100 mA,exp1,3366.761719,2712.59082
100 mA,exp1,3366.020508,2715.25293
100 mA,exp1,3365.279297,2778.382568
100 mA,exp1,3364.537109,2714.209473
100 mA,exp1,3363.795898,2802.765381
100 mA,exp1,3363.053711,2919.913574
100 mA,exp1,3362.311523,2722.18457
100 mA,exp1,3361.569336,2778.89209
100 mA,exp1,3360.827148,2724.316406
100 mA,exp1,3360.084961,2781.001221
100 mA,exp1,3359.341797,2681.958252
100 mA,exp1,3358.598633,2703.681396
100 mA,exp1,3357.856445,2719.043213
100 mA,exp1,3357.113281,2670.88208
100 mA,exp1,3356.370117,2778.325684
100 mA,exp1,3355.625977,2828.584473
100 mA,exp1,3354.882812,2723.297363
100 mA,exp1,3354.138672,2811.627686
100 mA,exp1,3353.395508,2731.766357
100 mA,exp1,3352.651367,2794.68335
100 mA,exp1,3351.907227,2749.74292
100 mA,exp1,3351.163086,2711.161377
100 mA,exp1,3350.417969,2843.792725
100 mA,exp1,3349.673828,2786.189209
100 mA,exp1,3348.929688,2696.916504
100 mA,exp1,3348.18457,2791.451172
100 mA,exp1,3347.439453,2629.350098
100 mA,exp1,3346.694336,2679.519287
100 mA,exp1,3345.949219,2802.502197
100 mA,exp1,3345.204102,2665.820557
100 mA,exp1,3344.458008,2700.125732
100 mA,exp1,3343.711914,2791.384521
100 mA,exp1,3342.966797,2752.874512
100 mA,exp1,3342.220703,2761.833496
100 mA,exp1,3341.474609,2647.431885
100 mA,exp1,3340.728516,2779.740723
100 mA,exp1,3339.981445,2804.497559
100 mA,exp1,3339.235352,2753.376709
100 mA,exp1,3338.488281,2711.75708
100 mA,exp1,3337.741211,2847.110352
100 mA,exp1,3336.995117,2742.301514
100 mA,exp1,3336.24707,2782.834473
100 mA,exp1,3335.5,2820.193359
100 mA,exp1,3334.75293,2835.435059
100 mA,exp1,3334.004883,2661.257324
100 mA,exp1,3333.257812,2704.930176
100 mA,exp1,3332.509766,2808.543457
100 mA,exp1,3331.761719,2804.844482
100 mA,exp1,3331.013672,2747.52124
100 mA,exp1,3330.265625,2658.681641
100 mA,exp1,3329.516602,2847.359863
100 mA,exp1,3328.768555,2755.382324
100 mA,exp1,3328.019531,2748.544434
100 mA,exp1,3327.270508,2719.64917
100 mA,exp1,3326.521484,2608.844482
100 mA,exp1,3325.772461,2709.144043
100 mA,exp1,3325.023438,2818.853027
100 mA,exp1,3324.273438,2805.710449
100 mA,exp1,3323.524414,2594.227783
100 mA,exp1,3322.774414,2754.258301
100 mA,exp1,3322.024414,2731.694092
100 mA,exp1,3321.274414,2715.431152
100 mA,exp1,3320.524414,2692.882812
100 mA,exp1,3319.773438,2789.86377
100 mA,exp1,3319.023438,2716.994385
100 mA,exp1,3318.272461,2867.381592
100 mA,exp1,3317.521484,2712.795654
100 mA,exp1,3316.771484,2724.839844
100 mA,exp1,3316.019531,2721.167969
100 mA,exp1,3315.268555,2717.497559
100 mA,exp1,3314.517578,2666.713135
100 mA,exp1,3313.765625,2694.458252
100 mA,exp1,3313.014648,2772.428955
100 mA,exp1,3312.262695,2668.297119
100 mA,exp1,3311.510742,2696.025146
100 mA,exp1,3310.758789,2786.501221
100 mA,exp1,3310.005859,2760.860107
100 mA,exp1,3309.253906,2728.955566
100 mA,exp1,3308.500977,2875.822021
100 mA,exp1,3307.749023,2881.533203
100 mA,exp1,3306.996094,2711.6875
100 mA,exp1,3306.243164,2698.622314
100 mA,exp1,3305.490234,2610.35376
100 mA,exp1,3304.736328,2738.301025
100 mA,exp1,3303.983398,2731.502441
100 mA,exp1,3303.229492,2730.970215
100 mA,exp1,3302.475586,2733.569336
100 mA,exp1,3301.72168,2664.162598
100 mA,exp1,3300.967773,2679.293213
100 mA,exp1,3300.213867,2766.394287
100 mA,exp1,3299.459961,2772.112305
100 mA,exp1,3298.705078,2837.263428
100 mA,exp1,3297.950195,2739.755127
100 mA,exp1,3297.196289,2742.347412
100 mA,exp1,3296.441406,2832.476562
100 mA,exp1,3295.685547,2744.402832
100 mA,exp1,3294.930664,2831.37085
100 mA,exp1,3294.175781,2668.342773
100 mA,exp1,3293.419922,2683.441406
100 mA,exp1,3292.664062,2720.396973
100 mA,exp1,3291.908203,2797.932861
100 mA,exp1,3291.152344,2728.700439
100 mA,exp1,3290.396484,2837.418945
100 mA,exp1,3289.640625,2796.293213
100 mA,exp1,3288.883789,2745.82251
100 mA,exp1,3288.12793,2873.191162
100 mA,exp1,3287.371094,2769.701172
100 mA,exp1,3286.614258,2781.633301
100 mA,exp1,3285.857422,2883.977051
100 mA,exp1,3285.100586,2730.670166
100 mA,exp1,3284.342773,2748.835449
100 mA,exp1,3283.585938,2832.429199
100 mA,exp1,3282.828125,2722.83667
100 mA,exp1,3282.070312,2694.270996
100 mA,exp1,3281.3125,2706.200195
100 mA,exp1,3280.554688,2802.190186
100 mA,exp1,3279.796875,2674.010986
100 mA,exp1,3279.038086,2779.306396
100 mA,exp1,3278.279297,2903.230713
100 mA,exp1,3277.521484,2756.439941
